Meditar en la mañana organiza tu energía	Morning meditation helps align your energy.
Hoy despiertas en un nuevo estado	Today you awaken in a new state.
Empieza el día desde la versión que eliges ser	Begin the day as the person you choose to be.
Tu mañana obedece a la historia que aceptas	Your morning follows the story you choose to accept.
Asume temprano lo que deseas vivir	Embody early what you wish to experience.
Tu atención abre el camino del día	Your attention opens the path for your day.
Respira, elige y crea desde adentro	Breathe, choose, and create from within.
Este día responde a tu nueva identidad	This day responds to your new identity.
Tu cuerpo escucha la intención con la que comienzas	Your body listens to the intention you begin with.
Entra al día como quien ya lo logró	Step into the day as if you have already achieved it.
La primera imagen interna dirige tus pasos	Your first inner image guides your steps.
Hoy practicas el futuro que quieres habitar	Today you rehearse the future you want to live in.
Cada amanecer puede reeducar tu mente	Every sunrise can retrain your mind.
Empieza en calma y el mundo se ordena	Begin in calm, and the world falls into place.
Tu percepción de hoy cambia tu biología	Today's perception can change your biology.
El día nace desde el estado que sostienes	The day is born from the state you sustain.
Imagina con fe antes de actuar	Imagine with faith before you act.
Tu energía de inicio marca la dirección	The energy you begin with sets the direction.
Hoy eliges presencia antes que pasado	Today you choose presence over the past.
Declara internamente quién eres ahora	Affirm within yourself who you are now.
La mañana es tu primer acto creador	Morning is your first act of creation.
Empieza desde tu mejor versión	Begin as your best self.
Hoy eliges quién ser	Today you choose who to be.
Tu momento es ahora	Your moment is now.
Avanza hoy con intención	Move forward with intention today.
Recuerda, todo comienza en ti	Remember, everything begins within you.
Hoy dirige tu energía sabiamente	Guide your energy wisely today.
Hoy siembras tu futuro	Today you plant the seeds of your future.
Actúa desde tu visión futura	Act from your vision of the future.
Comienza este día con propósito	Begin this day with purpose.
Hoy eliges tu estado interior	Today you choose your inner state.
Hoy construyes desde la calma	Today you build from a place of calm.
Hoy lideras tu experiencia	Today you lead your experience.
Honra este nuevo comienzo	Honor this new beginning.
Hoy conviertes intención en acción	Today you turn intention into action.
Vuelve al estado que elegiste al comenzar	Return to the state you chose at the start.
A mitad del día también puedes reiniciar	You can reset halfway through the day, too.
Tu atención puede cambiar el rumbo ahora	Your attention can change the course right now.
Respira y regresa a tu versión elevada	Breathe and return to your higher self.
Cada pausa es una puerta a otro estado	Every pause is a doorway to a different state.
Sostén la visión mientras actúas	Hold the vision as you act.
Tu cuerpo aprende de la emoción que repites	Your body learns from the emotions you repeat.
Elige coherencia en medio del movimiento	Choose coherence in the midst of movement.
Lo externo no manda sobre tu estado	External circumstances do not control your state.
Ahora puedes pensar desde el resultado	You can think from the desired outcome now.
Tu tarde se transforma con una nueva percepción	A new perspective can transform your afternoon.
La intención se fortalece con presencia	Intention grows stronger through presence.
Haz una cosa desde tu identidad elegida	Do one thing from your chosen identity.
No negocies con el viejo hábito	Do not bargain with the old habit.
Tu mundo cambia cuando vuelves a ti	Your world changes when you return to yourself.
Siente el resultado antes de perseguirlo	Feel the outcome before you chase it.
Una emoción elevada reorganiza el día	An elevated emotion can reshape your day.
Actúa como quien ya recuerda su poder	Act like someone who remembers their power.
La tarde aún tiene espacio para crear	There is still room to create this afternoon.
Tu siguiente elección también cuenta	Your next choice matters too.
Vuelve al momento presente	Return to the present moment.
Haz una pausa, respira y continúa	Take a pause, breathe, and continue
Regresa a tu centro	Return to your center.
