Meditar en la mañana organiza tu energía	晨间冥想能帮助你调整能量状态。
Hoy despiertas en un nuevo estado	今天，你在全新的状态中醒来。
Empieza el día desde la versión que eliges ser	以你选择成为的自己开启新的一天。
Tu mañana obedece a la historia que aceptas	你的清晨会回应你所选择相信的故事。
Asume temprano lo que deseas vivir	从清晨起，就进入你想要的生活状态。
Tu atención abre el camino del día	你的专注为这一天开辟道路。
Respira, elige y crea desde adentro	呼吸、选择，从内在开始创造。
Este día responde a tu nueva identidad	这一天会回应你的新身份。
Tu cuerpo escucha la intención con la que comienzas	你的身体会感知你开启一天时的意图。
Entra al día como quien ya lo logró	带着已经实现目标的状态走进今天。
La primera imagen interna dirige tus pasos	清晨浮现的第一个内在画面会指引你的脚步。
Hoy practicas el futuro que quieres habitar	今天，练习进入你想要的未来。
Cada amanecer puede reeducar tu mente	每个清晨都能重新塑造你的心智。
Empieza en calma y el mundo se ordena	从平静开始，世界也会渐渐归位。
Tu percepción de hoy cambia tu biología	你今天的感知正在改变你的身心状态。
El día nace desde el estado que sostienes	这一天从你持续保持的状态中诞生。
Imagina con fe antes de actuar	行动之前，先带着信念去想象。
Tu energía de inicio marca la dirección	你开始时的能量决定今天的方向。
Hoy eliges presencia antes que pasado	今天，你选择活在当下，而不是困于过去。
Declara internamente quién eres ahora	在心中确认：此刻的你是谁。
La mañana es tu primer acto creador	清晨是你今天的第一次创造。
Empieza desde tu mejor versión	以最好的自己开始今天。
Hoy eliges quién ser	今天，由你选择成为谁。
Tu momento es ahora	属于你的时刻，就是现在。
Avanza hoy con intención	今天，带着明确的意图前行。
Recuerda, todo comienza en ti	记住，一切都从你开始。
Hoy dirige tu energía sabiamente	今天，明智地引导你的能量。
Hoy siembras tu futuro	今天，你正在播种自己的未来。
Actúa desde tu visión futura	从你对未来的愿景出发去行动。
Comienza este día con propósito	带着目标开启这一天。
Hoy eliges tu estado interior	今天，由你选择自己的内在状态。
Hoy construyes desde la calma	今天，从平静中开始创造。
Hoy lideras tu experiencia	今天，由你引领自己的体验。
Honra este nuevo comienzo	珍惜这个全新的开始。
Hoy conviertes intención en acción	今天，把意图化为行动。
Vuelve al estado que elegiste al comenzar	回到你今天开始时所选择的状态。
A mitad del día también puedes reiniciar	即使到了半天，你也可以重新开始。
Tu atención puede cambiar el rumbo ahora	此刻，你的专注就能改变方向。
Respira y regresa a tu versión elevada	深呼吸，回到更高版本的自己。
Cada pausa es una puerta a otro estado	每一次停顿，都是通往另一种状态的门。
Sostén la visión mientras actúas	行动时，继续守住你的愿景。
Tu cuerpo aprende de la emoción que repites	你的身体会学习你反复体验的情绪。
Elige coherencia en medio del movimiento	在忙碌之中，选择回到协调一致。
Lo externo no manda sobre tu estado	外在环境无法决定你的内在状态。
Ahora puedes pensar desde el resultado	此刻，你可以从愿望已经实现的状态出发思考。
Tu tarde se transforma con una nueva percepción	新的视角可以改变你的下午。
